SOURCEURL,Date,Event name,Type,cluster,actor1_countries,actor2_countries,event_locations,combined_text_entities,combined_text_entity_types,keywords,first_event_date,title,description,event_count,avg_goldstein_score,site_name,language,actor1_names,actor2_names,event_descriptions,author
https://www.africanews.com/2025/11/29/zumas-daughter-resigns-amid-claims-south-africans-were-lured-into-ukraine-war/,11/29/2025,Zuma’s daughter resigns amid claims South Africans were lured into Ukraine War | Africanews,SEC,,ZAF,RUS,SF,,,,11/29/2025,Zuma’s daughter resigns amid claims South Africans were lured into Ukraine War | Africanews,"The daughter of former South African President Jacob Zuma, Duduzile Zuma-Sambudla, has stepped down from Parliament amid mounting controversy over allegations that she played a role in luring South African men into fighting for Russia in the war in Ukraine.",1,0,Africanews,en,SOUTH AFRICAN,RUSSIA,"['Use conventional military force, not specified below']",AfricaNews
https://www.yahoo.com/news/articles/african-ex-leader-zuma-daughter-020521197.html,11/29/2025,S African ex-leader Zuma’s daughter quits parliament amid Russia war claims,DIP,,AFR | ZAF,RUS,SF,,,"Jacob Zuma, South African President, Russia, African National Congress, South Africans, Ukraine war, South Africa, Zuma-Sambudla, Ukraine, Nkosinathi Nhleko",11/29/2025,S African ex-leader Zuma’s daughter quits parliament amid Russia war claims,Duduzile Zuma-Sambudla’s resignation comes amid investigation into role in luring South Africans to fight in Ukraine.,7,9.086882225,Yahoo News,en-US,AFRICA | SOUTH AFRICAN,RUSSIA | RUSSIAN,"['Return, release person(s)', 'Use conventional military force, not specified below']",
https://www.citizen.co.za/news/south-africa/politics/this-is-why-duduzile-zuma-sambudla-got-herself-into-trouble-allegedly-recruiting-south-africans-to-fight-in-the-russia-ukraine-conflict/,11/29/2025,"This is why Duduzile Zuma-Sambudla got herself into trouble, allegedly recruiting South Africans to fight in the Russia-Ukraine conflict | The Citizen",SEC,,RUS,RUS,SF,,,,11/29/2025,"This is why Duduzile Zuma-Sambudla got herself into trouble, allegedly recruiting South Africans to fight in the Russia-Ukraine conflict | The Citizen","On Friday, the MK Party attempted to cleanse itself from the recruitment scandal involving Duduzile Zuma-Sambudla.",1,0,,en-US,RUSSIA,RUSSIAN,"['Appeal, not specified below']",
https://www.independent.co.uk/news/world/africa/south-africa-russia-soldiers-war-b2874911.html,11/29/2025,Four men suspected of planning to fight for Russia arrested in South Africa | The Independent,SEC,,,RUS,SF,,,,11/29/2025,Four men suspected of planning to fight for Russia arrested in South Africa | The Independent,Reports have emerged of 17 other South African nationals becoming stranded in Ukraine,1,0,The Citizen,en,,RUSSIA,"['Threaten, not specified below']",Itumeleng Mafisa
https://www.klcc.org/npr-world-news/2025-11-28/south-africans-trapped-on-frontlines-of-russia-ukraine-war-plead-for-help,11/29/2025,South Africans trapped on frontlines of Russia-Ukraine war plead for help,SEC,,AFR,RUS,SF,,,,11/29/2025,South Africans trapped on frontlines of Russia-Ukraine war plead for help,"South Africa scrambles to rescue 17 men lured to fight for Russia in Ukraine, exposing a web of exploitation, politics and international mercenary recruiting involving a former president's daughter.",1,0,The Independent,en,AFRICA,RUSSIA,['Provide humanitarian aid'],
https://www.marketscreener.com/news/south-africa-arrests-four-men-suspected-of-planning-to-fight-for-russia-ce7d51dbdf8aff27,11/29/2025,South Africa arrests four men suspected of planning to fight for Russia | MarketScreener,SEC,,RUS,AFR,SF,,,Markets,11/29/2025,South Africa arrests four men suspected of planning to fight for Russia | MarketScreener,"South African police said they arrested four men en route to Russia who are suspected of having been recruited to fight in the military there. 
  The men were stopped at the boarding gate...",1,0,KLCC | NPR for Oregonians,en,RUSSIA,AFRICA,"['Arrest, detain, or charge with legal action']",
https://gcaptain.com/ukrainian-drone-strikes-set-two-russian-shadow-fleet-tankers-ablaze-off-turkey/,11/29/2025,Ukrainian Drone Strikes Set Two Russian Shadow Fleet Tankers Ablaze off Turkey,SEC,,EGY | RUS,RUS | EGY,EG,,,,11/29/2025,Ukrainian Drone Strikes Set Two Russian Shadow Fleet Tankers Ablaze off Turkey,Two sanctioned Russian shadow fleet tankers caught fire in the Black Sea on Friday after suspected Ukrainian naval drone strikes off the Turkish coast. Extensive rescue operations successfully evacuated all...,4,0.5196152423,MarketScreener,en-US,EGYPT | RUSSIA,RUSSIA | EGYPT,"['Make a visit', 'Host a visit']",Reuters
https://www.philstar.com/headlines/2025/11/29/2490719/ukraine-embassy-slams-russias-claim-filipino-recruitment-war,11/29/2025,Ukraine Embassy slams Russiaâ€™s claim of Filipino recruitment for war | Philstar.com,INFO,,UKR,RUS,SF,,,"ukraine-russia crisis,ukraine-russia war",11/29/2025,Ukraine Embassy slams Russiaâ€™s claim of Filipino recruitment for war | Philstar.com,"The Ukraine Embassy in Manila categorically denied Russia&rsquo;s allegation that Filipinos are being recruited to fight alongside Ukrainian troops, calling the accusation a &ldquo;baseless fabrication&rdquo; and part of Moscow&rsquo;s broader disinformation efforts in Southeast Asia.",1,0,gCaptain,en-US,UKRAINE,RUSSIA,['Criticize or denounce'],Mike Schuler
https://www.straitstimes.com/world/south-africa-arrests-four-men-suspected-of-planning-to-fight-for-russia,11/29/2025,South Africa arrests four men suspected of planning to fight for Russia | The Straits Times,SEC,,RUS,AFR,SF,,,,11/29/2025,South Africa arrests four men suspected of planning to fight for Russia | The Straits Times,The men were stopped at the boarding gate in Johannesburg. Read more at straitstimes.com.,1,0,Philstar.com,,RUSSIA,AFRICA,"['Arrest, detain, or charge with legal action']",Kristine Daguno-Bersamina
https://www.thesouthafrican.com/news/hawks-arrest-four-men-en-route-to-russia-over-alleged-military-recruitment/,11/29/2025,Hawks arrest four men en route to Russia over military recruitment,SEC,,RUS,,SF,,,,11/29/2025,Hawks arrest four men en route to Russia over military recruitment,Hawks arrest four men at OR Tambo for allegedly planning to join Russia in its war against Ukraine after an airport tip-off.,1,0,The Straits Times,en,RUSSIA,MILITARY,['Make a visit'],
https://www.timeslive.co.za/news/2025-11-29-hawks-arrest-four-men-en-route-to-russia-in-military-recruitment-scandal/,11/29/2025,Hawks arrest four men en route to Russia in military recruitment scandal,SEC,,RUS,,SF,,,"MKP members trafficked,Duduzile Zuma-Sambudla,Crimes Against the State",11/29/2025,Hawks arrest four men en route to Russia in military recruitment scandal,Four men will appear in the Kempton Park magistrate's court after they were arrested at the OR Tambo international airport in connection with the Russia-Ukraine military recruitment scandal,1,0,The Sun,en-gb,RUSSIA,MILITARY,['Make a visit'],
https://www.citizen.co.za/news/in-case-you-missed-it-cat-matlala-a-grootman-to-vusi-shongwe-russian-military-recruiters-arrested-boy-finds-mom-fatally-stabbed/,11/29/2025,In case you missed it: ‘Cat’ Matlala a ‘grootman’ to Vusi Shongwe? | Russian military recruiters arrested | Boy finds mom fatally stabbed | The Citizen,INFO,,RUS,ARE | ZAF,SF,,,,11/29/2025,In case you missed it: ‘Cat’ Matlala a ‘grootman’ to Vusi Shongwe? | Russian military recruiters arrested | Boy finds mom fatally stabbed | The Citizen,"Catch up on the biggest stories this Saturday, 29 November 2025, in our simple daily news update.",3,6.870468203,The South African,en-ZA,RUSSIA,UNITED ARAB EMIRATES | FREE STATE,"['Make a visit', 'Use conventional military force, not specified below']",Shyleen Choruma
https://athens-times.com/turkey-fire-on-two-tankers-after-attack-by-trapped-unmanned-vessels-in-the-black-sea/,11/29/2025,Fire on Two Tankers After USV Attacks in Black Sea,SEC,,RUS | TUR,TUR | RUS,GA,,,,11/29/2025,Fire on Two Tankers After USV Attacks in Black Sea,"Two oil tankers, including M/T Virat and M/T Kairos, caught fire after USV attacks in the Black Sea near Turkey. Both ships linked to Russia's shadow fleet.",2,0.6363961031,TimesLIVE,en,RUSSIA | TURKISH,TURKISH | RUSSIA,"['Make a visit', 'Host a visit']",
https://www.namibian.com.na/former-sa-president-zumas-daughter-quits-parliament-amid-russia-war-claims/,11/29/2025,Former SA president Zuma’s daughter quits parliament amid Russia war claims - News - The Namibian,SEC,,AFR | ZAF,RUS,WA,,,,11/29/2025,Former SA president Zuma’s daughter quits parliament amid Russia war claims - News - The Namibian,Former South African president Jacob Zuma’s daughter Duduzile Zuma-Sambudla has resigned from parliament amid allegations that she lured 17 men to fight as mercenaries in Russia’s […],3,0,TimesLIVE,en,AFRICA | SOUTH AFRICAN,RUSSIA,"['Use conventional military force, not specified below']",
